,color-ID,TopColor,color-Description,color-Label,color-Image-url,color-FullPrice,color-CurrentPrice,color-Discount,color-BestSeller,color-InStock,color-MemberExclusive,color-New
1209,469b7fc0-a820-5956-8a81-ce3b72409cff,Photon Dust/Light Bone/Cool Grey/Anthracite,Photon Dust/Light Bone/Cool Grey/Anthracite,IN_STOCK,"https://static.nike.com/a/images/c_limit,w_400,f_auto/t_product_v1/0f72d7f4-e378-483f-9158-857f9cf352a9/image.jpg",75.0,56.97,False,False,False,False,False
1210,45181402-cdc7-5bad-9246-cc272f2beef4,Photon Dust/Light Bone/Cool Grey/Anthracite,Phantom/White/Flat Pewter/Green Strike,IN_STOCK,"https://static.nike.com/a/images/c_limit,w_400,f_auto/t_product_v1/84e5905e-2a31-44ec-998d-c1d9501c4d1f/image.jpg",75.0,75.0,False,False,False,False,False
1211,c3698735-a1a3-5a73-b37f-04c1ae19a0cf,Photon Dust/Light Bone/Cool Grey/Anthracite,Pure Platinum/Black/Green Abyss/Volt,IN_STOCK,"https://static.nike.com/a/images/c_limit,w_400,f_auto/t_product_v1/04f8bc4e-6285-4339-974c-980ec7d3c35e/image.jpg",75.0,58.97,False,False,False,False,False
1212,faedca62-7a77-5d16-a9cd-df8fae19d2fa,Photon Dust/Light Bone/Cool Grey/Anthracite,Obsidian/White/Bright Crimson,IN_STOCK,"https://static.nike.com/a/images/c_limit,w_400,f_auto/t_product_v1/6fbf353d-52df-419e-bab1-aee6a039a235/image.jpg",75.0,75.0,False,False,False,False,False
1213,4144c0f0-382d-530b-9ff7-05668b494375,Photon Dust/Light Bone/Cool Grey/Anthracite,Iron Grey/Black/Gum Medium Brown/White,IN_STOCK,"https://static.nike.com/a/images/c_limit,w_400,f_auto/t_product_v1/a35fd309-8113-47de-a0be-375605be9493/image.jpg",75.0,75.0,False,False,False,False,False
1214,d89be744-9186-5025-8dad-81f0c191fc86,Photon Dust/Light Bone/Cool Grey/Anthracite,Sequoia/Medium Olive/White/High Voltage,IN_STOCK,"https://static.nike.com/a/images/c_limit,w_400,f_auto/t_product_v1/d83ff142-85d0-47e6-a34b-500a9258485e/image.jpg",75.0,75.0,False,False,False,False,False
1215,5d2026f6-6ead-57ea-8ccb-8eed02750902,Photon Dust/Light Bone/Cool Grey/Anthracite,Pure Platinum/Racer Blue/White/Obsidian,IN_STOCK,"https://static.nike.com/a/images/c_limit,w_400,f_auto/t_product_v1/625d4ac2-ac5f-4928-b4d5-639f6b0c3239/image.jpg",75.0,75.0,False,False,False,False,False
1216,65ed7e42-0d7a-5409-b55f-b99106084f96,Photon Dust/Light Bone/Cool Grey/Anthracite,Black/Black/Volt,IN_STOCK,"https://static.nike.com/a/images/c_limit,w_400,f_auto/t_product_v1/2d0ff796-63fb-4728-9845-1334f57c73ea/image.jpg",75.0,75.0,False,False,False,False,False
1217,eb8fc903-bbd4-53e7-a569-a8ae470e2564,Photon Dust/Light Bone/Cool Grey/Anthracite,Black/Black/White,IN_STOCK,"https://static.nike.com/a/images/c_limit,w_400,f_auto/t_product_v1/8e540407-e244-47d2-9a56-6b147bf93bdb/image.jpg",75.0,75.0,False,False,False,False,False
1218,db6c3363-c170-5e6f-af98-ecde8549e1d1,Barely Rose/Pink Rise/Canyon Rust/Cave Purple,Barely Rose/Pink Rise/Canyon Rust/Cave Purple,IN_STOCK,"https://static.nike.com/a/images/c_limit,w_400,f_auto/t_product_v1/f06c0171-34a0-49b0-bae9-58e73202ed05/image.jpg",130.0,97.97,False,False,False,False,False
1219,5d8f4eef-1874-54f3-a65c-cd1f87813167,Barely Rose/Pink Rise/Canyon Rust/Cave Purple,Hemp/Sanddrift/Coral Chalk/Earth,IN_STOCK,"https://static.nike.com/a/images/c_limit,w_400,f_auto/t_product_v1/2e8ea195-c68a-4ae9-9061-bc2b9c114acc/image.jpg",140.0,98.97,False,False,False,False,False
1220,e02f9ed3-46a3-5df3-9c13-13a83a61481d,Barely Rose/Pink Rise/Canyon Rust/Cave Purple,Citron Tint/Cool Grey/Summit White/Light Smoke Grey,IN_STOCK,"https://static.nike.com/a/images/c_limit,w_400,f_auto/t_product_v1/4a6502d2-a8d3-483f-b08a-6497001c42f8/image.jpg",130.0,97.97,False,False,False,False,False
